Date,KLBN11.SA,MOVI3.SA,NEOE3.SA
2022-01-03,25.649999618530273,15.25,15.850000381469727
2022-01-04,26.1299991607666,15.010000228881836,15.59000015258789
2022-01-05,25.639999389648438,13.989999771118164,15.289999961853027
2022-01-06,25.65999984741211,13.9399995803833,14.979999542236328
2022-01-07,25.229999542236328,13.670000076293945,14.6899995803833
2022-01-10,25.030000686645508,13.399999618530273,14.449999809265137
2022-01-11,24.979999542236328,13.59000015258789,14.680000305175781
2022-01-12,25.59000015258789,13.90999984741211,15.25
2022-01-13,25.450000762939453,13.829999923706055,15.100000381469727
2022-01-14,25.290000915527344,14.029999732971191,15.140000343322754
2022-01-17,24.440000534057617,14.199999809265137,15.319999694824219
2022-01-18,25.1200008392334,13.960000038146973,15.369999885559082
2022-01-19,25.709999084472656,13.949999809265137,15.640000343322754
2022-01-20,25.540000915527344,15.210000038146973,15.779999732971191
2022-01-21,24.84000015258789,15.329999923706055,15.760000228881836
2022-01-24,24.229999542236328,15.09000015258789,15.800000190734863
2022-01-25,23.969999313354492,15.529999732971191,15.920000076293945
2022-01-26,24.049999237060547,16.34000015258789,15.970000267028809
2022-01-27,24.56999969482422,16.3700008392334,16.049999237060547
2022-01-28,25.09000015258789,16.190000534057617,16.280000686645508
2022-01-31,25.06999969482422,16.479999542236328,16.440000534057617
2022-02-01,24.639999389648438,16.420000076293945,16.209999084472656
2022-02-02,24.59000015258789,16.25,16.219999313354492
2022-02-03,24.889999389648438,15.979999542236328,16.5
2022-02-04,25.3700008392334,15.670000076293945,16.040000915527344
2022-02-07,25.0,15.489999771118164,15.8100004196167
2022-02-08,25.219999313354492,15.329999923706055,16.09000015258789
2022-02-09,24.93000030517578,15.75,15.949999809265137
2022-02-10,24.670000076293945,15.949999809265137,15.779999732971191
2022-02-11,23.899999618530273,15.550000190734863,15.6899995803833
2022-02-14,23.93000030517578,15.84000015258789,15.6899995803833
2022-02-15,22.940000534057617,16.34000015258789,16.139999389648438
2022-02-16,22.850000381469727,16.5,16.18000030517578
2022-02-17,23.25,16.010000228881836,16.299999237060547
2022-02-18,23.34000015258789,15.899999618530273,16.06999969482422
2022-02-21,23.270000457763672,15.699999809265137,15.949999809265137
2022-02-22,23.549999237060547,17.09000015258789,16.020000457763672
2022-02-23,22.639999389648438,17.15999984741211,16.059999465942383
2022-02-24,22.829999923706055,16.780000686645508,15.960000038146973
2022-02-25,22.8700008392334,16.329999923706055,16.09000015258789
2022-03-02,23.149999618530273,16.030000686645508,16.18000030517578
2022-03-03,23.040000915527344,15.760000228881836,16.299999237060547
2022-03-04,24.1200008392334,15.050000190734863,16.0
2022-03-07,24.40999984741211,14.420000076293945,15.720000267028809
2022-03-08,24.760000228881836,15.270000457763672,15.630000114440918
2022-03-09,24.860000610351562,15.800000190734863,15.989999771118164
2022-03-10,25.309999465942383,15.6899995803833,15.949999809265137
2022-03-11,25.469999313354492,15.25,15.770000457763672
2022-03-14,25.329999923706055,15.050000190734863,15.65999984741211
2022-03-15,24.670000076293945,15.15999984741211,15.699999809265137
2022-03-16,25.200000762939453,15.640000343322754,15.539999961853027
2022-03-17,25.8799991607666,15.720000267028809,15.789999961853027
2022-03-18,26.309999465942383,16.170000076293945,16.15999984741211
2022-03-21,25.780000686645508,15.850000381469727,16.510000228881836
2022-03-22,26.290000915527344,16.149999618530273,16.610000610351562
2022-03-23,26.100000381469727,16.299999237060547,16.649999618530273
2022-03-24,26.600000381469727,16.799999237060547,16.979999542236328
2022-03-25,24.969999313354492,17.049999237060547,17.200000762939453
2022-03-28,24.989999771118164,17.549999237060547,17.139999389648438
2022-03-29,24.719999313354492,17.889999389648438,17.440000534057617
2022-03-30,24.610000610351562,17.510000228881836,17.260000228881836
2022-03-31,24.1200008392334,17.469999313354492,17.219999313354492
2022-04-01,23.729999542236328,18.18000030517578,17.299999237060547
2022-04-04,23.549999237060547,17.860000610351562,17.450000762939453
2022-04-05,23.25,17.579999923706055,17.190000534057617
2022-04-06,23.56999969482422,17.149999618530273,16.940000534057617
2022-04-07,23.18000030517578,17.049999237060547,16.979999542236328
2022-04-08,23.270000457763672,17.190000534057617,17.110000610351562
2022-04-11,23.100000381469727,17.31999969482422,17.34000015258789
2022-04-12,22.959999084472656,17.31999969482422,17.34000015258789
2022-04-13,22.889999389648438,18.0,17.3799991607666
2022-04-14,22.790000915527344,18.489999771118164,17.5
2022-04-18,22.309999465942383,18.420000076293945,17.329999923706055
2022-04-19,22.459999084472656,19.079999923706055,17.290000915527344
2022-04-20,22.190000534057617,19.09000015258789,17.280000686645508
2022-04-22,22.139999389648438,18.190000534057617,17.68000030517578
2022-04-25,22.15999984741211,17.639999389648438,17.610000610351562
2022-04-26,21.5,16.969999313354492,17.209999084472656
2022-04-27,21.389999389648438,17.3799991607666,18.25
2022-04-28,21.229999542236328,17.950000762939453,19.0
2022-04-29,20.739999771118164,18.149999618530273,18.780000686645508
2022-05-02,20.959999084472656,16.93000030517578,18.899999618530273
2022-05-03,21.219999313354492,16.1299991607666,18.450000762939453
2022-05-04,22.239999771118164,16.969999313354492,18.43000030517578
2022-05-05,22.5,16.09000015258789,17.959999084472656
2022-05-06,22.3700008392334,15.550000190734863,18.010000228881836
2022-05-09,21.56999969482422,15.100000381469727,17.809999465942383
2022-05-10,21.0,15.720000267028809,17.690000534057617
2022-05-11,21.15999984741211,15.710000038146973,17.510000228881836
2022-05-12,20.899999618530273,15.979999542236328,17.5
2022-05-13,22.15999984741211,16.399999618530273,17.68000030517578
