Date,BTLG11.SA,MFII11.SA,VGHF11.SA,VGIP11.SA,XPLG11.SA,XPML11.SA
2022-01-03,106.0,108.2300033569336,,101.25,99.66000366210938,97.45999908447266
2022-01-04,105.95999908447266,108.19999694824219,,102.0,99.5,96.80999755859375
2022-01-05,103.4000015258789,108.38999938964844,,101.5999984741211,97.19999694824219,94.83999633789062
2022-01-06,104.12000274658203,105.5,,101.5999984741211,97.1500015258789,94.75
2022-01-07,104.87999725341797,105.11000061035156,,101.81999969482422,96.91999816894531,93.0
2022-01-10,104.94999694824219,105.56999969482422,,102.4000015258789,96.05999755859375,91.0
2022-01-11,105.01000213623047,105.05999755859375,,102.9800033569336,97.44999694824219,89.61000061035156
2022-01-12,104.97000122070312,106.69999694824219,,103.05999755859375,97.5,93.0
2022-01-13,105.4800033569336,106.75,,101.29000091552734,97.19999694824219,91.05999755859375
2022-01-14,105.5,107.98999786376953,,101.0,97.80000305175781,93.56999969482422
2022-01-17,105.22000122070312,109.5,,100.33999633789062,99.37000274658203,95.0
2022-01-18,105.33000183105469,109.48999786376953,,100.1500015258789,100.8499984741211,95.19999694824219
2022-01-19,105.69999694824219,108.48999786376953,,100.48999786376953,101.80000305175781,94.4000015258789
2022-01-20,105.69999694824219,108.0,,100.62999725341797,100.0999984741211,92.69999694824219
2022-01-21,105.83000183105469,109.19999694824219,,100.72000122070312,101.5,92.69000244140625
2022-01-24,105.80000305175781,109.3499984741211,,100.69999694824219,100.95999908447266,92.18000030517578
2022-01-25,105.62000274658203,109.3499984741211,,101.33000183105469,99.95999908447266,93.83999633789062
2022-01-26,105.30000305175781,110.36000061035156,,100.4000015258789,100.1500015258789,94.5
2022-01-27,105.19999694824219,109.98999786376953,,100.05000305175781,99.5999984741211,93.41000366210938
2022-01-28,105.38999938964844,110.25,,100.3499984741211,98.44999694824219,93.5999984741211
2022-01-31,105.29000091552734,109.4000015258789,,99.86000061035156,98.58999633789062,97.87000274658203
2022-02-01,105.0,107.52999877929688,,100.25,97.4000015258789,98.05000305175781
2022-02-02,105.33999633789062,108.33999633789062,,100.56999969482422,97.16000366210938,95.0999984741211
2022-02-03,105.0,107.55000305175781,,100.69000244140625,97.08999633789062,95.51000213623047
2022-02-04,105.98999786376953,107.13999938964844,,101.25,97.11000061035156,96.55999755859375
2022-02-07,105.69999694824219,106.0,,101.43000030517578,96.94000244140625,96.69999694824219
2022-02-08,105.56999969482422,106.8499984741211,,101.45999908447266,97.30000305175781,96.19999694824219
2022-02-09,105.30000305175781,106.66999816894531,,101.0,97.30000305175781,95.80000305175781
2022-02-10,105.23999786376953,106.0,,100.94999694824219,96.69999694824219,95.13999938964844
2022-02-11,105.94000244140625,107.0,,99.81999969482422,96.69999694824219,96.0
2022-02-14,103.80000305175781,107.6500015258789,,99.55999755859375,97.29000091552734,93.75
2022-02-15,102.36000061035156,107.55000305175781,,99.5,97.80000305175781,92.5999984741211
2022-02-16,102.8499984741211,107.01000213623047,,99.44000244140625,97.22000122070312,93.31999969482422
2022-02-17,102.30000305175781,106.19999694824219,,99.75,96.5199966430664,93.6500015258789
2022-02-18,102.5999984741211,106.25,,100.0,96.8499984741211,93.55000305175781
2022-02-21,102.0999984741211,106.12999725341797,,99.12000274658203,96.0,91.9000015258789
2022-02-22,102.44999694824219,106.0,,98.19999694824219,93.12000274658203,90.80000305175781
2022-02-23,102.68000030517578,106.08999633789062,,98.93000030517578,92.83000183105469,91.13999938964844
2022-02-24,102.44000244140625,105.19000244140625,,99.0199966430664,91.0999984741211,89.6500015258789
2022-02-25,103.0,106.31999969482422,,99.4800033569336,92.04000091552734,91.4000015258789
2022-03-02,102.5999984741211,105.0,,100.01000213623047,95.75,90.9800033569336
2022-03-03,102.9000015258789,105.31999969482422,,100.58000183105469,96.98999786376953,90.69999694824219
2022-03-04,102.80999755859375,105.0,,100.97000122070312,97.25,90.55000305175781
2022-03-07,104.4000015258789,104.25,,100.44999694824219,98.0,90.19999694824219
2022-03-08,104.41999816894531,104.73999786376953,,100.81999969482422,98.0,90.1500015258789
2022-03-09,102.51000213623047,104.05000305175781,,100.97000122070312,98.87000274658203,89.94999694824219
2022-03-10,102.7300033569336,104.0199966430664,,100.9800033569336,100.9000015258789,91.1500015258789
2022-03-11,103.01000213623047,103.93000030517578,,100.97000122070312,101.55999755859375,90.7300033569336
2022-03-14,102.9800033569336,103.55000305175781,,98.4000015258789,100.4000015258789,89.80000305175781
2022-03-15,103.1500015258789,104.0,,99.08999633789062,100.30000305175781,90.22000122070312
2022-03-16,103.2699966430664,103.9000015258789,,99.19999694824219,101.66000366210938,90.37000274658203
2022-03-17,103.9000015258789,103.44000244140625,,99.91999816894531,100.9000015258789,90.2699966430664
2022-03-18,103.30000305175781,102.5,,99.69999694824219,99.97000122070312,90.5999984741211
2022-03-21,103.30000305175781,102.80000305175781,,99.4800033569336,96.7699966430664,90.2699966430664
2022-03-22,103.2300033569336,103.43000030517578,,99.33000183105469,98.30999755859375,90.9000015258789
2022-03-23,103.44999694824219,103.41000366210938,,100.0,98.01000213623047,91.0
2022-03-24,103.94000244140625,103.69999694824219,,99.36000061035156,98.75,91.12999725341797
2022-03-25,104.33999633789062,103.7300033569336,,99.80999755859375,98.27999877929688,91.73999786376953
2022-03-28,104.0,103.73999786376953,,99.30000305175781,97.91999816894531,92.05000305175781
2022-03-29,102.68000030517578,103.97000122070312,,99.3499984741211,97.4000015258789,94.63999938964844
2022-03-30,102.0,104.5,,100.19999694824219,97.69999694824219,94.44999694824219
